"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"1",513,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"2",514,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"3",515,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"4",516,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"5",517,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"6",518,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"7",519,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"8",520,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"9",521,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"10",522,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"11",523,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"12",524,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"13",525,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"14",526,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"15",527,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"16",528,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"17",529,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"18",530,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"19",531,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"20",532,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"21",533,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"22",534,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"23",535,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"24",536,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"25",537,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"26",538,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"27",539,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"28",540,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"29",541,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"30",542,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"31",543,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"32",544,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"33",545,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"34",546,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"35",547,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"36",548,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"37",549,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"38",550,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"39",551,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"40",552,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"41",553,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"42",554,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"43",555,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"44",556,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"45",557,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"46",558,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"47",559,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"48",560,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
