"","log2n","log2m","t","p_tp","i95_tp_lb","i95_tp_ub","p_fp","i95_fp_lb","i95_fp_ub"
"1",24,14,-256,0.9918,0.9855,0.9982,1,1,1
"2",24,14,-240,0.9903,0.9833,0.9972,1,1,1
"3",24,14,-224,0.9892,0.9819,0.9965,1,1,1
"4",24,14,-208,0.989,0.9816,0.9964,1,1,1
"5",24,14,-192,0.989,0.9816,0.9964,1,0.9999,1
"6",24,14,-176,0.9883,0.9807,0.9959,1,0.9999,1
"7",24,14,-160,0.988,0.9803,0.9957,1,0.9999,1
"8",24,14,-144,0.9875,0.9796,0.9953,1,0.9999,1
"9",24,14,-128,0.9869,0.9789,0.995,1,0.9999,1
"10",24,14,-112,0.9866,0.9785,0.9948,1,0.9997,1
"11",24,14,-96,0.9863,0.9781,0.9945,1,0.9995,1
"12",24,14,-80,0.9855,0.977,0.9939,0.9998,0.9988,1
"13",24,14,-64,0.985,0.9764,0.9936,0.9997,0.9986,1
"14",24,14,-48,0.9847,0.976,0.9934,0.9996,0.9982,1
"15",24,14,-32,0.9824,0.9731,0.9917,0.9979,0.9947,1
"16",24,14,-16,0.9618,0.9483,0.9754,0.9906,0.9838,0.9974
"17",24,14,0,0.9613,0.9476,0.975,0.7362,0.705,0.7674
"18",24,14,16,0.9613,0.9476,0.975,0.0176,0.0083,0.027
"19",24,14,32,0.9613,0.9476,0.975,0.0074,0.0013,0.0134
"20",24,14,48,0.9613,0.9476,0.975,0.0035,0,0.0077
"21",24,14,64,0.9613,0.9476,0.975,0.0016,0,0.0045
"22",24,14,80,0.9613,0.9476,0.975,7e-04,0,0.0025
"23",24,14,96,0.9613,0.9476,0.975,2e-04,0,0.0012
"24",24,14,112,0.9613,0.9476,0.975,1e-04,0,8e-04
"25",24,14,128,0.9613,0.9476,0.975,0,0,5e-04
"26",24,14,144,0.9613,0.9476,0.975,0,0,1e-04
"27",24,14,160,0.9613,0.9476,0.975,0,0,1e-04
"28",24,14,176,0.9613,0.9476,0.975,0,0,1e-04
"29",24,14,192,0.9613,0.9476,0.975,0,0,1e-04
"30",24,14,208,0.9613,0.9476,0.975,0,0,1e-04
"31",24,14,224,0.9613,0.9476,0.975,0,0,1e-04
"32",24,14,240,0.9613,0.9476,0.975,0,0,1e-04
"33",24,14,256,0.9613,0.9476,0.975,0,0,1e-04
"34",24,16,-512,0.9883,0.973,1,1,0.9999,1
"35",24,16,-480,0.9883,0.973,1,1,0.9999,1
"36",24,16,-448,0.9883,0.973,1,1,0.9999,1
"37",24,16,-416,0.9883,0.973,1,1,0.9999,1
"38",24,16,-384,0.9883,0.973,1,1,0.9998,1
"39",24,16,-352,0.9877,0.9721,1,1,0.9998,1
"40",24,16,-320,0.9876,0.9719,1,1,0.9997,1
"41",24,16,-288,0.9872,0.9712,1,1,0.9997,1
"42",24,16,-256,0.9871,0.9711,1,0.9999,0.9986,1
"43",24,16,-224,0.9871,0.9711,1,0.9995,0.9962,1
"44",24,16,-192,0.9871,0.9711,1,0.9975,0.9903,1
"45",24,16,-160,0.9866,0.9702,1,0.9944,0.9838,1
"46",24,16,-128,0.986,0.9693,1,0.9905,0.9767,1
"47",24,16,-96,0.982,0.963,1,0.9864,0.97,1
"48",24,16,-64,0.9669,0.9414,0.9923,0.9807,0.9611,1
"49",24,16,-32,0.9639,0.9374,0.9904,0.9649,0.9387,0.9911
"50",24,16,0,0.9639,0.9373,0.9904,0.697,0.6316,0.7623
"51",24,16,32,0.9639,0.9373,0.9904,0.0154,0,0.033
