log2n;log2m;t;p_tp;i95_tp_lb;i95_tp_ub;p_fp;i95_fp_lb;i95_fp_ub
24;14;-2048;1,0000;1,0000;1,0000;1,0000; 1,0000;1,0000
24;14;-1920;1,0000;1,0000;1,0000;1,0000; 1,0000;1,0000
24;14;-1792;1,0000;1,0000;1,0000;1,0000; 1,0000;1,0000
24;14;-1664;1,0000;1,0000;1,0000;1,0000; 1,0000;1,0000
24;14;-1536;1,0000;1,0000;1,0000;1,0000; 1,0000;1,0000
24;14;-1408;1,0000;0,9999;1,0001;1,0000; 1,0000;1,0000
24;14;-1280;0,9989;0,9960;1,0018;1,0000; 1,0000;1,0000
24;14;-1152;0,9950;0,9889;1,0011;1,0000; 1,0000;1,0000
24;14;-1024;0,9923;0,9847;0,9999;1,0000; 1,0000;1,0000
24;14; -896;0,9895;0,9806;0,9983;1,0000; 1,0000;1,0000
24;14; -768;0,9890;0,9799;0,9980;1,0000; 0,9999;1,0001
24;14; -640;0,9880;0,9786;0,9975;1,0000; 0,9999;1,0001
24;14; -512;0,9870;0,9772;0,9968;1,0000; 0,9999;1,0001
24;14; -384;0,9865;0,9765;0,9965;0,9999; 0,9990;1,0008
24;14; -256;0,9852;0,9747;0,9957;0,9996; 0,9978;1,0014
24;14; -128;0,9837;0,9727;0,9947;0,9965; 0,9914;1,0016
24;14;    0;0,9613;0,9445;0,9780;0,4794; 0,4360;0,5227
24;14;  128;0,9613;0,9445;0,9780;0,0119; 0,0025;0,0213
24;14;  256;0,9613;0,9445;0,9780;0,0026;-0,0018;0,0071
24;14;  384;0,9613;0,9445;0,9780;0,0003;-0,0012;0,0017
24;14;  512;0,9613;0,9445;0,9780;0,0001;-0,0007;0,0008
24;14;  640;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14;  768;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14;  896;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1024;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1152;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1280;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1408;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1536;0,9613;0,9445;0,9780;0,0000;-0,0001;0,0001
24;14; 1664;0,9604;0,9434;0,9773;0,0000;-0,0001;0,0001
24;14; 1792;0,9580;0,9406;0,9754;0,0000; 0,0000;0,0000
24;14; 1920;0,9515;0,9329;0,9702;0,0000; 0,0000;0,0000
24;14; 2048;0,9445;0,9246;0,9643;0,0000; 0,0000;0,0000
24;16;-2048;0,9883;0,9695;1,0071;1,0000; 0,9998;1,0002
24;16;-1920;0,9883;0,9695;1,0071;1,0000; 0,9998;1,0002
24;16;-1792;0,9883;0,9695;1,0071;1,0000; 0,9998;1,0002
24;16;-1664;0,9883;0,9695;1,0071;1,0000; 0,9998;1,0002
24;16;-1536;0,9883;0,9695;1,0071;1,0000; 0,9997;1,0003
24;16;-1408;0,9879;0,9688;1,0070;1,0000; 0,9997;1,0003
24;16;-1280;0,9877;0,9685;1,0070;1,0000; 0,9996;1,0004
24;16;-1152;0,9872;0,9676;1,0068;1,0000; 0,9996;1,0004
24;16;-1024;0,9871;0,9674;1,0068;0,9999; 0,9987;1,0012
24;16; -896;0,9871;0,9674;1,0068;0,9993; 0,9948;1,0039
24;16; -768;0,9871;0,9674;1,0068;0,9967; 0,9868;1,0067
24;16; -640;0,9866;0,9665;1,0067;0,9924; 0,9772;1,0076
24;16; -512;0,9859;0,9653;1,0065;0,9859; 0,9653;1,0065
24;16; -384;0,9820;0,9587;1,0052;0,9796; 0,9548;1,0043
24;16; -256;0,9660;0,9344;0,9977;0,9700; 0,9402;0,9998
24;16; -128;0,9639;0,9313;0,9965;0,9431; 0,9026;0,9835
24;16;    0;0,9639;0,9313;0,9965;0,4697; 0,3826;0,5569
24;16;  128;0,9639;0,9313;0,9965;0,0231;-0,0031;0,0494
24;16;  256;0,9639;0,9313;0,9965;0,0048;-0,0073;0,0169
24;16;  384;0,9639;0,9313;0,9965;0,0012;-0,0048;0,0072
24;16;  512;0,9639;0,9313;0,9965;0,0002;-0,0023;0,0027
24;16;  640;0,9639;0,9313;0,9965;0,0001;-0,0015;0,0017
24;16;  768;0,9639;0,9313;0,9965;0,0000;-0,0012;0,0013
24;16;  896;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1024;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1152;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1280;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1408;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1536;0,9639;0,9313;0,9965;0,0000;-0,0011;0,0012
24;16; 1664;0,9639;0,9313;0,9965;0,0000;-0,0001;0,0001
24;16; 1792;0,9639;0,9313;0,9965;0,0000;-0,0001;0,0001
24;16; 1920;0,9639;0,9313;0,9965;0,0000;-0,0001;0,0001
24;16; 2048;0,9639;0,9313;0,9965;0,0000;-0,0001;0,0001
24;18;-2048;0,9985;0,9844;1,0125;1,0000; 1,0000;1,0000
24;18;-1920;0,9985;0,9844;1,0125;1,0000; 1,0000;1,0000
24;18;-1792;0,9985;0,9844;1,0125;1,0000; 1,0000;1,0000
24;18;-1664;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
24;18;-1536;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
24;18;-1408;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
24;18;-1280;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
24;18;-1152;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
24;18;-1024;0,9985;0,9844;1,0125;1,0000; 0,9997;1,0003
