log2n,log2m,t,p_tp,i95_tp_lb,i95_tp_ub,p_fp,i95_fp_lb,i95_fp_ub
27,18,-1024,0.9998,0.9981,1,1,0.9995,1
27,18,-960,0.9998,0.9981,1,0.9999,0.999,1
27,18,-896,0.9998,0.9981,1,0.9998,0.9981,1
27,18,-832,0.9998,0.9981,1,0.9992,0.9957,1
27,18,-768,0.9998,0.9981,1,0.9979,0.9923,1
27,18,-704,0.9998,0.9981,1,0.9958,0.9878,1
27,18,-640,0.9998,0.9981,1,0.9932,0.983,1
27,18,-576,0.9997,0.9975,1,0.9898,0.9773,1
27,18,-512,0.9997,0.9974,1,0.9863,0.9718,1
27,18,-448,0.9996,0.997,1,0.9819,0.9653,0.9985
27,18,-384,0.9993,0.9962,1,0.977,0.9583,0.9956
27,18,-320,0.9988,0.9944,1,0.971,0.9502,0.9919
27,18,-256,0.996,0.9881,1,0.9628,0.9392,0.9863
27,18,-192,0.9809,0.9639,0.998,0.9477,0.92,0.9754
27,18,-128,0.9807,0.9636,0.9978,0.9263,0.8938,0.9588
27,18,-64,0.9807,0.9636,0.9978,0.8891,0.8501,0.9282
27,18,0,0.9807,0.9636,0.9978,0.4673,0.4052,0.5294
27,18,64,0.9807,0.9636,0.9978,0.0674,0.0362,0.0986
27,18,128,0.9807,0.9636,0.9978,0.0364,0.0131,0.0598
27,18,192,0.9807,0.9636,0.9978,0.0241,0.005,0.0432
27,18,256,0.9807,0.9636,0.9978,0.0187,0.0019,0.0356
27,18,320,0.9807,0.9636,0.9978,0.0154,1e-4,0.0307
27,18,384,0.9807,0.9636,0.9978,0.0125,0,0.0263
27,18,448,0.9807,0.9636,0.9978,0.0101,0,0.0225
27,18,512,0.9807,0.9636,0.9978,0.008,0,0.0191
27,18,576,0.9807,0.9636,0.9978,0.0061,0,0.0158
27,18,640,0.9807,0.9636,0.9978,0.0036,0,0.0111
27,18,704,0.9807,0.9636,0.9978,0.0023,0,0.0084
27,18,768,0.9807,0.9636,0.9978,0.0015,0,0.0063
27,18,832,0.9807,0.9636,0.9978,0.001,0,0.005
27,18,896,0.9807,0.9636,0.9978,3e-4,0,0.0027
27,18,960,0.9807,0.9636,0.9978,2e-4,0,0.0018
27,18,1024,0.9807,0.9636,0.9978,1e-4,0,0.0013
27,14,-256,0.999,0.998,1,0.9999,0.9996,1
27,14,-240,0.9988,0.9978,0.9999,0.9999,0.9996,1
27,14,-224,0.9986,0.9975,0.9998,0.9998,0.9994,1
27,14,-208,0.9986,0.9974,0.9998,0.9998,0.9994,1
27,14,-192,0.9986,0.9974,0.9998,0.9997,0.9992,1
27,14,-176,0.9985,0.9973,0.9997,0.9997,0.9991,1
27,14,-160,0.9985,0.9973,0.9997,0.9996,0.999,1
27,14,-144,0.9985,0.9973,0.9997,0.9996,0.9989,1
27,14,-128,0.9983,0.9971,0.9996,0.9995,0.9987,1
27,14,-112,0.9983,0.997,0.9996,0.9993,0.9985,1
27,14,-96,0.9983,0.997,0.9996,0.9992,0.9983,1
27,14,-80,0.9981,0.9968,0.9995,0.9991,0.9981,1
27,14,-64,0.9981,0.9968,0.9995,0.9975,0.996,0.9991
27,14,-48,0.9981,0.9967,0.9994,0.9939,0.9915,0.9963
27,14,-32,0.9979,0.9965,0.9993,0.9833,0.9793,0.9873
27,14,-16,0.9912,0.9883,0.9941,0.9506,0.9438,0.9573
27,14,0,0.9789,0.9745,0.9834,0.6191,0.6041,0.6342
27,14,16,0.9789,0.9745,0.9834,0.0237,0.019,0.0284
27,14,32,0.9789,0.9745,0.9834,0.0085,0.0057,0.0114
27,14,48,0.9789,0.9745,0.9834,0.0024,9e-4,0.0039
27,14,64,0.9789,0.9745,0.9834,9e-4,0,0.0018
27,14,80,0.9789,0.9745,0.9834,4e-4,0,0.001
27,14,96,0.9789,0.9745,0.9834,3e-4,0,8e-4
27,14,112,0.9789,0.9745,0.9834,2e-4,0,7e-4
27,14,128,0.9789,0.9745,0.9834,1e-4,0,5e-4
27,14,144,0.9789,0.9745,0.9834,1e-4,0,4e-4
27,14,160,0.9789,0.9745,0.9834,1e-4,0,3e-4
27,14,176,0.9789,0.9745,0.9834,0,0,2e-4
27,14,192,0.9789,0.9745,0.9834,0,0,1e-4
27,14,208,0.9789,0.9745,0.9834,0,0,1e-4
27,14,224,0.9789,0.9745,0.9834,0,0,1e-4
27,14,240,0.9789,0.9745,0.9834,0,0,1e-4
27,14,256,0.9789,0.9745,0.9834,0,0,1e-4
27,16,-512,0.9985,0.9961,1,1,0.9998,1
27,16,-480,0.9985,0.9961,1,1,0.9997,1
27,16,-448,0.9985,0.9961,1,1,0.9997,1
27,16,-416,0.9985,0.9961,1,1,0.9996,1
27,16,-384,0.9985,0.9961,1,0.9999,0.9993,1
27,16,-352,0.9985,0.996,1,0.9994,0.9978,1
27,16,-320,0.9984,0.996,1,0.9976,0.9946,1
27,16,-288,0.9984,0.9959,1,0.9947,0.9902,0.9992
27,16,-256,0.9984,0.9959,1,0.9905,0.9844,0.9965
27,16,-224,0.9984,0.9959,1,0.9858,0.9785,0.9931
27,16,-192,0.9984,0.9959,1,0.9818,0.9735,0.9901
27,16,-160,0.9983,0.9958,1,0.9782,0.9691,0.9872
27,16,-128,0.9982,0.9956,1,0.9737,0.9638,0.9836
27,16,-96,0.9978,0.9949,1,0.9621,0.9502,0.9739
27,16,-64,0.9929,0.9877,0.9981,0.9421,0.9276,0.9566
27,16,-32,0.9793,0.9705,0.9881,0.9152,0.8979,0.9325
27,16,0,0.9793,0.9704,0.9881,0.541,0.5101,0.5719
27,16,32,0.9793,0.9704,0.9881,0.042,0.0296,0.0544
27,16,64,0.9793,0.9704,0.9881,0.0213,0.0123,0.0302
27,16,96,0.9793,0.9704,0.9881,0.014,0.0067,0.0213
27,16,128,0.9793,0.9704,0.9881,0.0107,0.0043,0.0171
27,16,160,0.9793,0.9704,0.9881,0.0079,0.0024,0.0134
27,16,192,0.9793,0.9704,0.9881,0.0069,0.0018,0.0121
27,16,224,0.9793,0.9704,0.9881,0.006,0.0012,0.0107
27,16,256,0.9793,0.9704,0.9881,0.005,6e-4,0.0094
27,16,288,0.9793,0.9704,0.9881,0.0044,3e-4,0.0085
27,16,320,0.9793,0.9704,0.9881,0.0041,1e-4,0.0081
27,16,352,0.9793,0.9704,0.9881,0.0038,0,0.0077
27,16,384,0.9793,0.9704,0.9881,1e-4,0,5e-4
27,16,416,0.9793,0.9704,0.9881,0,0,1e-4
27,16,448,0.9793,0.9704,0.9881,0,0,1e-4
27,16,480,0.9793,0.9704,0.9881,0,0,1e-4
27,16,512,0.9793,0.9704,0.9881,0,0,1e-4
