log2n,log2m,t,p_tp,i95_tp_lb,i95_tp_ub,p_fp,i95_fp_lb,i95_fp_ub
27,18,-1024,0.999,0.995,1,1,0.9996,1
27,18,-960,0.999,0.995,1,0.9999,0.999,1
27,18,-896,0.999,0.995,1,0.9998,0.9981,1
27,18,-832,0.999,0.995,1,0.9992,0.9957,1
27,18,-768,0.999,0.995,1,0.9979,0.9923,1
27,18,-704,0.999,0.995,1,0.9958,0.9878,1
27,18,-640,0.999,0.995,1,0.9932,0.983,1
27,18,-576,0.9989,0.9947,1,0.9899,0.9774,1
27,18,-512,0.9988,0.9946,1,0.9864,0.9719,1
27,18,-448,0.9987,0.9943,1,0.9819,0.9654,0.9985
27,18,-384,0.9985,0.9938,1,0.977,0.9584,0.9956
27,18,-320,0.998,0.9923,1,0.9711,0.9502,0.9919
27,18,-256,0.9952,0.9865,1,0.9628,0.9393,0.9863
27,18,-192,0.9802,0.9629,0.9975,0.9477,0.9201,0.9754
27,18,-128,0.98,0.9626,0.9974,0.9263,0.8938,0.9587
27,18,-64,0.98,0.9626,0.9974,0.8891,0.8501,0.9281
27,18,0,0.98,0.9626,0.9974,0.4669,0.405,0.5289
27,18,64,0.98,0.9626,0.9974,0.0673,0.0362,0.0984
27,18,128,0.98,0.9626,0.9974,0.0363,0.0131,0.0596
27,18,192,0.98,0.9626,0.9974,0.0241,0.005,0.0431
27,18,256,0.98,0.9626,0.9974,0.0187,0.0019,0.0355
27,18,320,0.98,0.9626,0.9974,0.0153,1e-4,0.0306
27,18,384,0.98,0.9626,0.9974,0.0124,0,0.0262
27,18,448,0.98,0.9626,0.9974,0.0101,0,0.0225
27,18,512,0.98,0.9626,0.9974,0.008,0,0.0191
27,18,576,0.98,0.9626,0.9974,0.0061,0,0.0158
27,18,640,0.98,0.9626,0.9974,0.0036,0,0.0111
27,18,704,0.98,0.9626,0.9974,0.0024,0,0.0084
27,18,768,0.98,0.9626,0.9974,0.0015,0,0.0063
27,18,832,0.98,0.9626,0.9974,0.001,0,0.005
27,18,896,0.98,0.9626,0.9974,3e-4,0,0.0027
27,18,960,0.98,0.9626,0.9974,2e-4,0,0.0018
27,18,1024,0.98,0.9626,0.9974,1e-4,0,0.0012
