src,dst,attack
201.86.92.158,198.88.219.116,0
100.51.97.98,198.85.16.231,0
100.126.5.20,184.100.40.46,0
201.53.183.201,5.228.234.197,0
100.126.5.20,184.100.40.46,0
5.231.18.144,112.119.243.212,0
161.69.48.219,161.69.45.5,0
69.172.196.117,58.151.145.152,0
43.204.28.8,210.29.60.184,0
100.126.5.20,184.100.40.46,0
215.205.15.166,35.240.203.254,0
107.80.56.245,43.43.40.240,0
64.154.167.132,208.163.38.87,0
100.126.5.20,184.100.40.46,0
120.29.207.155,1.146.20.150,0
161.69.48.219,161.69.45.5,0
198.88.219.48,198.88.218.136,0
199.66.76.254,93.85.149.85,0
74.83.45.102,210.108.56.251,0
100.126.5.6,117.67.53.155,0
146.2.212.117,139.16.85.56,0
1.108.124.183,1.96.195.11,0
198.88.219.48,198.88.221.44,0
102.6.191.226,221.46.220.202,0
109.147.8.90,1.1.34.171,0
146.2.214.223,23.79.12.216,0
3.218.216.93,107.188.253.65,0
161.69.48.219,161.69.45.5,0
146.2.214.223,138.71.66.98,0
208.233.254.107,73.0.235.152,0
104.123.153.155,210.29.60.25,0
161.69.48.219,161.69.45.5,0
66.167.192.198,43.11.90.49,0
104.49.248.195,5.252.44.211,0
140.150.146.161,221.195.231.37,0
221.112.150.193,139.236.108.208,0
66.6.236.111,5.252.100.89,0
65.19.196.169,157.53.7.6,0
161.69.48.219,161.69.45.5,0
221.112.150.193,139.236.108.208,0
64.120.63.4,104.117.85.51,0
109.147.8.230,1.1.34.171,0
5.231.18.144,112.119.243.212,0
112.83.104.45,1.96.167.236,0
208.184.14.93,210.29.63.115,0
161.69.48.219,161.69.45.5,0
104.152.76.174,114.108.22.113,0
158.10.87.86,3.253.33.212,0
104.152.76.174,114.108.22.113,0
73.111.39.41,91.197.127.67,0
43.36.153.139,96.210.186.202,0
161.69.48.219,161.69.45.5,0
178.51.72.233,130.44.31.134,0
5.231.18.144,112.119.243.212,0
157.13.170.167,111.205.228.170,0
73.111.39.41,91.197.127.67,0
65.117.9.47,147.101.52.61,0
111.36.40.194,43.42.195.227,0
20.151.74.49,111.205.228.165,0
67.193.254.136,90.130.156.204,0
161.69.48.219,161.69.45.5,0
5.231.18.218,207.136.84.130,0
43.240.166.211,208.233.255.93,0
158.10.87.86,3.253.33.212,0
168.147.166.80,168.147.23.17,0
128.84.241.16,1.39.59.83,0
210.22.249.127,211.106.221.82,0
43.240.166.211,208.233.255.93,0
198.88.220.252,198.88.219.113,0
5.231.18.218,207.136.84.130,0
