"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"0.0.0.0",148,7696,0,0,148,7696,"","","",""
"1.0.65.212",6,312,0,0,6,312,"","","",""
"1.0.67.66",2,104,0,0,2,104,"","","",""
"1.0.227.102",11,572,0,0,11,572,"","","",""
"1.0.254.238",3,156,0,0,3,156,"","","",""
"1.1.34.171",6,312,0,0,6,312,"","","",""
"1.1.149.182",3,156,0,0,3,156,"","","",""
"1.1.225.254",1,52,0,0,1,52,"","","",""
"1.2.0.254",3,156,0,0,3,156,"","","",""
"1.2.29.29",1,52,0,0,1,52,"","","",""
"1.2.38.184",5,260,0,0,5,260,"","","",""
"1.2.47.183",4,208,0,0,4,208,"","","",""
"1.2.54.84",9,468,0,0,9,468,"","","",""
"1.2.95.126",1,52,0,0,1,52,"","","",""
"1.2.163.101",1,52,0,0,1,52,"","","",""
"1.2.204.94",1,52,0,0,1,52,"","","",""
"1.2.210.83",3,156,0,0,3,156,"","","",""
"1.3.251.80",8,416,0,0,8,416,"","","",""
"1.8.177.48",1,52,0,0,1,52,"","","",""
"1.12.2.37",2,104,0,0,2,104,"","","",""
"1.12.38.67",3,156,0,0,3,156,"","","",""
"1.13.5.138",2,104,0,0,2,104,"","","",""
"1.15.28.209",1,52,0,0,1,52,"","","",""
"1.15.166.226",1,52,0,0,1,52,"","","",""
"1.15.174.173",2,104,0,0,2,104,"","","",""
"1.15.182.177",5,260,0,0,5,260,"","","",""
"1.32.30.113",1,52,0,0,1,52,"","","",""
"1.32.75.121",2,104,0,0,2,104,"","","",""
"1.32.124.131",1,52,0,0,1,52,"","","",""
"1.32.130.116",1,52,0,0,1,52,"","","",""
"1.32.179.52",1,52,0,0,1,52,"","","",""
"1.32.211.19",1,52,0,0,1,52,"","","",""
"1.33.30.31",1,52,0,0,1,52,"","","",""
"1.33.50.73",4,208,0,0,4,208,"","","",""
"1.33.81.27",1,52,0,0,1,52,"","","",""
"1.33.113.166",1,52,0,0,1,52,"","","",""
"1.33.183.110",1,52,0,0,1,52,"","","",""
"1.33.253.129",1,52,0,0,1,52,"","","",""
"1.34.26.143",1,52,0,0,1,52,"","","",""
"1.34.110.241",4,208,0,0,4,208,"","","",""
"1.34.248.21",6,312,0,0,6,312,"","","",""
"1.35.52.31",1,52,0,0,1,52,"","","",""
"1.35.71.122",6,312,0,0,6,312,"","","",""
"1.35.170.175",2,104,0,0,2,104,"","","",""
"1.36.7.45",1,52,0,0,1,52,"","","",""
"1.36.8.212",1,52,0,0,1,52,"","","",""
"1.36.203.172",1,52,0,0,1,52,"","","",""
"1.36.224.116",1,52,0,0,1,52,"","","",""
"1.37.19.252",6,312,0,0,6,312,"","","",""
"1.37.132.226",1,52,0,0,1,52,"","","",""
"1.37.232.241",4,208,0,0,4,208,"","","",""
"1.37.237.70",1,52,0,0,1,52,"","","",""
"1.38.1.47",5,260,0,0,5,260,"","","",""
"1.38.89.59",1,52,0,0,1,52,"","","",""
