log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
18,0.000,750,250,125.0,108,250,250,125.0,117,1.000,0.900,0.864,0.936
18,0.125,750,250,125.0,108,250,250,125.0,117,1.000,0.900,0.864,0.936
18,0.250,750,250,125.0,108,250,250,125.0,117,1.000,0.900,0.864,0.936
18,0.375,750,250,125.0,108,250,250,125.0,117,1.000,0.900,0.864,0.936
18,0.500,750,250,125.0,107,250,250,125.0,115,1.000,0.888,0.856,0.920
18,0.625,750,250,125.0,107,250,250,125.0,114,1.000,0.884,0.856,0.912
18,0.750,750,250,125.0,107,250,250,125.0,112,1.000,0.876,0.856,0.896
18,0.875,750,250,125.0,97,250,250,125.0,96,1.000,0.772,0.776,0.768
18,1.000,750,250,125.0,95,250,250,125.0,96,1.000,0.764,0.760,0.768
18,1.125,750,250,125.0,93,250,250,125.0,96,1.000,0.756,0.744,0.768
18,1.250,750,250,125.0,93,250,250,125.0,96,1.000,0.756,0.744,0.768
18,1.375,750,250,125.0,88,250,250,125.0,96,1.000,0.736,0.704,0.768
18,1.500,750,250,125.0,88,250,250,125.0,96,1.000,0.736,0.704,0.768
18,1.625,750,250,125.0,88,250,250,125.0,96,1.000,0.736,0.704,0.768
18,1.750,750,250,125.0,88,250,250,125.0,96,1.000,0.736,0.704,0.768
18,1.875,750,250,125.0,87,250,250,125.0,74,1.000,0.644,0.696,0.592
18,2.000,750,250,125.0,87,250,250,125.0,74,1.000,0.644,0.696,0.592
18,2.125,750,250,125.0,87,250,250,125.0,74,1.000,0.644,0.696,0.592
18,2.250,750,250,125.0,52,250,250,125.0,57,1.000,0.436,0.416,0.456
18,2.375,750,250,125.0,84,250,250,125.0,74,1.000,0.632,0.672,0.592
18,2.500,750,250,125.0,83,250,250,125.0,74,1.000,0.628,0.664,0.592
18,2.625,750,250,125.0,48,250,250,125.0,50,1.000,0.392,0.384,0.400
18,2.750,750,250,125.0,48,250,250,125.0,37,1.000,0.340,0.384,0.296
18,2.875,750,250,125.0,48,250,250,125.0,35,1.000,0.332,0.384,0.280
18,3.000,750,250,125.0,17,250,250,125.0,18,1.000,0.140,0.136,0.144
18,3.125,750,250,125.0,13,250,250,125.0,16,1.000,0.116,0.104,0.128
18,3.250,750,250,125.0,12,250,250,125.0,16,1.000,0.112,0.096,0.128
18,3.375,750,250,125.0,12,250,250,125.0,16,1.000,0.112,0.096,0.128
18,3.500,750,250,125.0,7,250,250,125.0,16,1.000,0.092,0.056,0.128
18,3.625,750,250,125.0,6,250,250,125.0,13,1.000,0.076,0.048,0.104
18,3.750,750,250,125.0,6,250,250,125.0,13,1.000,0.076,0.048,0.104
18,3.875,750,250,125.0,6,250,250,125.0,13,1.000,0.076,0.048,0.104
18,4.000,750,250,125.0,6,250,250,125.0,13,1.000,0.076,0.048,0.104
18,4.125,750,250,125.0,6,250,250,125.0,11,1.000,0.068,0.048,0.088
18,4.250,750,250,125.0,5,250,250,125.0,9,1.000,0.056,0.040,0.072
18,4.375,750,250,125.0,5,250,250,125.0,9,1.000,0.056,0.040,0.072
18,4.500,750,250,125.0,5,250,250,125.0,9,1.000,0.056,0.040,0.072
18,4.625,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,4.750,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,4.875,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.000,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.125,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.250,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.375,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.500,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.625,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.750,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,5.875,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.000,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.125,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.250,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.375,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.500,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.625,750,250,125.0,5,250,250,125.0,6,1.000,0.044,0.040,0.048
18,6.750,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,6.875,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.000,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.125,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.250,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.375,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.500,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.625,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.750,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,7.875,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
18,8.000,750,250,125.0,5,250,250,125.0,5,1.000,0.040,0.040,0.040
