<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:5a46fd5dd4f625ed9eeb3632725d47797ddc512ab8c232fff44008b963fc32b8
size 4929
=======
log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
14,0.000,12000,4000,2000.0,1954,4000,4000,2000.0,1993,1.000,0.987,0.977,0.997
14,0.125,12000,4000,2000.0,1954,4000,4000,2000.0,1993,1.000,0.987,0.977,0.997
14,0.250,12000,4000,2000.0,1939,4000,4000,2000.0,1993,1.000,0.983,0.970,0.997
14,0.375,12000,4000,2000.0,1932,4000,4000,2000.0,1993,1.000,0.981,0.966,0.997
14,0.500,12000,4000,2000.0,1932,4000,4000,2000.0,1993,1.000,0.981,0.966,0.997
14,0.625,12000,4000,2000.0,1919,4000,4000,2000.0,1991,1.000,0.978,0.960,0.996
14,0.750,12000,4000,2000.0,1911,4000,4000,2000.0,1991,1.000,0.976,0.956,0.996
14,0.875,12000,4000,2000.0,1903,4000,4000,2000.0,1991,1.000,0.974,0.952,0.996
14,1.000,12000,4000,2000.0,1879,4000,4000,2000.0,1940,1.000,0.955,0.940,0.970
14,1.125,12000,4000,2000.0,1771,4000,4000,2000.0,1732,1.000,0.876,0.885,0.866
14,1.250,12000,4000,2000.0,1769,4000,4000,2000.0,1732,1.000,0.875,0.884,0.866
14,1.375,12000,4000,2000.0,1741,4000,4000,2000.0,1732,1.000,0.868,0.871,0.866
14,1.500,12000,4000,2000.0,1741,4000,4000,2000.0,1732,1.000,0.868,0.871,0.866
14,1.625,12000,4000,2000.0,1740,4000,4000,2000.0,1732,1.000,0.868,0.870,0.866
14,1.750,12000,4000,2000.0,1737,4000,4000,2000.0,1732,1.000,0.867,0.869,0.866
14,1.875,12000,4000,2000.0,1506,4000,4000,2000.0,1456,1.000,0.741,0.753,0.728
14,2.000,12000,4000,2000.0,1465,4000,4000,2000.0,1456,1.000,0.730,0.733,0.728
14,2.125,12000,4000,2000.0,1464,4000,4000,2000.0,1456,1.000,0.730,0.732,0.728
14,2.250,12000,4000,2000.0,1401,4000,4000,2000.0,1453,1.000,0.714,0.701,0.727
14,2.375,12000,4000,2000.0,669,4000,4000,2000.0,1132,1.000,0.450,0.335,0.566
14,2.500,12000,4000,2000.0,468,4000,4000,2000.0,651,1.000,0.280,0.234,0.326
14,2.625,12000,4000,2000.0,377,4000,4000,2000.0,528,1.000,0.226,0.189,0.264
14,2.750,12000,4000,2000.0,314,4000,4000,2000.0,351,1.000,0.166,0.157,0.175
14,2.875,12000,4000,2000.0,260,4000,4000,2000.0,300,1.000,0.140,0.130,0.150
14,3.000,12000,4000,2000.0,194,4000,4000,2000.0,250,1.000,0.111,0.097,0.125
14,3.125,12000,4000,2000.0,155,4000,4000,2000.0,218,1.000,0.093,0.077,0.109
14,3.250,12000,4000,2000.0,143,4000,4000,2000.0,211,1.000,0.088,0.071,0.105
14,3.375,12000,4000,2000.0,132,4000,4000,2000.0,173,1.000,0.076,0.066,0.086
14,3.500,12000,4000,2000.0,125,4000,4000,2000.0,147,1.000,0.068,0.062,0.073
14,3.625,12000,4000,2000.0,114,4000,4000,2000.0,133,1.000,0.062,0.057,0.067
14,3.750,12000,4000,2000.0,106,4000,4000,2000.0,117,1.000,0.056,0.053,0.059
14,3.875,12000,4000,2000.0,97,4000,4000,2000.0,109,1.000,0.051,0.049,0.054
14,4.000,12000,4000,2000.0,90,4000,4000,2000.0,98,1.000,0.047,0.045,0.049
14,4.125,12000,4000,2000.0,84,4000,4000,2000.0,93,1.000,0.044,0.042,0.046
14,4.250,12000,4000,2000.0,74,4000,4000,2000.0,81,1.000,0.039,0.037,0.041
14,4.375,12000,4000,2000.0,73,4000,4000,2000.0,77,1.000,0.037,0.036,0.038
14,4.500,12000,4000,2000.0,67,4000,4000,2000.0,76,1.000,0.036,0.034,0.038
14,4.625,12000,4000,2000.0,66,4000,4000,2000.0,67,1.000,0.033,0.033,0.034
14,4.750,12000,4000,2000.0,65,4000,4000,2000.0,61,1.000,0.032,0.033,0.030
14,4.875,12000,4000,2000.0,61,4000,4000,2000.0,61,1.000,0.030,0.030,0.030
14,5.000,12000,4000,2000.0,58,4000,4000,2000.0,58,1.000,0.029,0.029,0.029
14,5.125,12000,4000,2000.0,57,4000,89,2000.0,52,0.022,0.027,0.029,0.026
14,5.250,12000,4000,2000.0,57,4000,85,2000.0,49,0.021,0.026,0.029,0.025
14,5.375,12000,4000,2000.0,56,4000,68,2000.0,47,0.017,0.026,0.028,0.024
14,5.500,12000,4000,2000.0,56,4000,67,2000.0,45,0.017,0.025,0.028,0.022
14,5.625,12000,4000,2000.0,42,4000,61,2000.0,44,0.015,0.021,0.021,0.022
14,5.750,12000,4000,2000.0,35,4000,56,2000.0,44,0.014,0.020,0.018,0.022
14,5.875,12000,4000,2000.0,34,4000,47,2000.0,43,0.012,0.019,0.017,0.021
14,6.000,12000,4000,2000.0,29,4000,47,2000.0,43,0.012,0.018,0.015,0.021
14,6.125,12000,4000,2000.0,29,4000,46,2000.0,41,0.011,0.018,0.015,0.021
14,6.250,12000,4000,2000.0,23,4000,45,2000.0,41,0.011,0.016,0.011,0.021
14,6.375,12000,4000,2000.0,23,4000,43,2000.0,38,0.011,0.015,0.011,0.019
14,6.500,12000,4000,2000.0,23,4000,20,2000.0,38,0.005,0.015,0.011,0.019
14,6.625,12000,4000,2000.0,23,4000,19,2000.0,38,0.005,0.015,0.011,0.019
14,6.750,12000,4000,2000.0,22,4000,18,2000.0,30,0.004,0.013,0.011,0.015
14,6.875,12000,4000,2000.0,22,4000,18,2000.0,29,0.004,0.013,0.011,0.015
14,7.000,12000,4000,2000.0,22,4000,14,2000.0,19,0.004,0.010,0.011,0.009
14,7.125,12000,4000,2000.0,21,4000,14,2000.0,19,0.004,0.010,0.011,0.009
14,7.250,12000,4000,2000.0,21,4000,14,2000.0,19,0.004,0.010,0.011,0.009
14,7.375,12000,4000,2000.0,19,4000,14,2000.0,16,0.004,0.009,0.009,0.008
14,7.500,12000,4000,2000.0,18,4000,14,2000.0,16,0.004,0.009,0.009,0.008
14,7.625,12000,4000,2000.0,16,4000,13,2000.0,12,0.003,0.007,0.008,0.006
14,7.750,12000,4000,2000.0,16,4000,12,2000.0,12,0.003,0.007,0.008,0.006
14,7.875,12000,4000,2000.0,16,4000,11,2000.0,12,0.003,0.007,0.008,0.006
14,8.000,12000,4000,2000.0,16,4000,10,2000.0,1,0.003,0.004,0.008,0.001
>>>>>>> 587ddc4f3682fe26eb61ef3e7dd1f587b73479b7
