log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
13,0.000,3072,1024,512.0,506,1024,1024,512.0,511,1.000,0.993,0.988,0.998
13,0.125,3072,1024,512.0,495,1024,1024,512.0,511,1.000,0.982,0.967,0.998
13,0.250,3072,1024,512.0,487,1024,1024,512.0,511,1.000,0.975,0.951,0.998
13,0.375,3072,1024,512.0,478,1024,1024,512.0,511,1.000,0.966,0.934,0.998
13,0.500,3072,1024,512.0,476,1024,1024,512.0,511,1.000,0.964,0.930,0.998
13,0.625,3072,1024,512.0,473,1024,1024,512.0,511,1.000,0.961,0.924,0.998
13,0.750,3072,1024,512.0,462,1024,1024,512.0,505,1.000,0.944,0.902,0.986
13,0.875,3072,1024,512.0,459,1024,1024,512.0,505,1.000,0.941,0.896,0.986
13,1.000,3072,1024,512.0,447,1024,1024,512.0,465,1.000,0.891,0.873,0.908
13,1.125,3072,1024,512.0,434,1024,1024,512.0,465,1.000,0.878,0.848,0.908
13,1.250,3072,1024,512.0,403,1024,1024,512.0,483,1.000,0.865,0.787,0.943
13,1.375,3072,1024,512.0,389,1024,1024,512.0,465,1.000,0.834,0.760,0.908
13,1.500,3072,1024,512.0,388,1024,1024,512.0,465,1.000,0.833,0.758,0.908
13,1.625,3072,1024,512.0,374,1024,1024,512.0,465,1.000,0.819,0.730,0.908
13,1.750,3072,1024,512.0,373,1024,1024,512.0,465,1.000,0.818,0.729,0.908
13,1.875,3072,1024,512.0,348,1024,1024,512.0,448,1.000,0.777,0.680,0.875
13,2.000,3072,1024,512.0,348,1024,1024,512.0,424,1.000,0.754,0.680,0.828
13,2.125,3072,1024,512.0,321,1024,1024,512.0,408,1.000,0.712,0.627,0.797
13,2.250,3072,1024,512.0,282,1024,1024,512.0,234,1.000,0.504,0.551,0.457
13,2.375,3072,1024,512.0,187,1024,1024,512.0,206,1.000,0.384,0.365,0.402
13,2.500,3072,1024,512.0,161,1024,1024,512.0,156,1.000,0.310,0.314,0.305
13,2.625,3072,1024,512.0,144,1024,1024,512.0,133,1.000,0.271,0.281,0.260
13,2.750,3072,1024,512.0,107,1024,1024,512.0,117,1.000,0.219,0.209,0.229
13,2.875,3072,1024,512.0,84,1024,1024,512.0,57,1.000,0.138,0.164,0.111
13,3.000,3072,1024,512.0,61,1024,1024,512.0,43,1.000,0.102,0.119,0.084
13,3.125,3072,1024,512.0,42,1024,1024,512.0,36,1.000,0.076,0.082,0.070
13,3.250,3072,1024,512.0,25,1024,1024,512.0,36,1.000,0.060,0.049,0.070
13,3.375,3072,1024,512.0,22,1024,1024,512.0,27,1.000,0.048,0.043,0.053
13,3.500,3072,1024,512.0,19,1024,1024,512.0,18,1.000,0.036,0.037,0.035
13,3.625,3072,1024,512.0,17,1024,1024,512.0,17,1.000,0.033,0.033,0.033
13,3.750,3072,1024,512.0,16,1024,1024,512.0,15,1.000,0.030,0.031,0.029
13,3.875,3072,1024,512.0,12,1024,1024,512.0,8,1.000,0.020,0.023,0.016
13,4.000,3072,1024,512.0,11,1024,1024,512.0,7,1.000,0.018,0.021,0.014
13,4.125,3072,1024,512.0,7,1024,41,512.0,5,0.040,0.012,0.014,0.010
13,4.250,3072,1024,512.0,7,1024,32,512.0,5,0.031,0.012,0.014,0.010
13,4.375,3072,1024,512.0,4,1024,31,512.0,5,0.030,0.009,0.008,0.010
13,4.500,3072,1024,512.0,4,1024,19,512.0,5,0.019,0.009,0.008,0.010
13,4.625,3072,1024,512.0,4,1024,19,512.0,5,0.019,0.009,0.008,0.010
13,4.750,3072,1024,512.0,3,1024,17,512.0,5,0.017,0.008,0.006,0.010
13,4.875,3072,1024,512.0,3,1024,15,512.0,5,0.015,0.008,0.006,0.010
13,5.000,3072,1024,512.0,3,1024,15,512.0,3,0.015,0.006,0.006,0.006
13,5.125,3072,1024,512.0,3,1024,15,512.0,3,0.015,0.006,0.006,0.006
13,5.250,3072,1024,512.0,2,1024,15,512.0,3,0.015,0.005,0.004,0.006
13,5.375,3072,1024,512.0,2,1024,15,512.0,3,0.015,0.005,0.004,0.006
13,5.500,3072,1024,512.0,2,1024,14,512.0,3,0.014,0.005,0.004,0.006
