log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
18,0.000,96,32,16.0,16,32,32,16.0,16,1.000,1.000,1.000,1.000
18,0.125,96,32,16.0,16,32,32,16.0,16,1.000,1.000,1.000,1.000
18,0.250,96,32,16.0,15,32,32,16.0,16,1.000,0.969,0.938,1.000
18,0.375,96,32,16.0,15,32,32,16.0,16,1.000,0.969,0.938,1.000
18,0.500,96,32,16.0,15,32,32,16.0,16,1.000,0.969,0.938,1.000
18,0.625,96,32,16.0,13,32,32,16.0,16,1.000,0.906,0.812,1.000
18,0.750,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,0.875,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.000,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.125,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.250,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.375,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.500,96,32,16.0,12,32,32,16.0,15,1.000,0.844,0.750,0.938
18,1.625,96,32,16.0,3,32,32,16.0,10,1.000,0.406,0.188,0.625
18,1.750,96,32,16.0,3,32,32,16.0,10,1.000,0.406,0.188,0.625
18,1.875,96,32,16.0,2,32,32,16.0,2,1.000,0.125,0.125,0.125
18,2.000,96,32,16.0,1,32,32,16.0,2,1.000,0.094,0.062,0.125
18,2.125,96,32,16.0,1,32,32,16.0,2,1.000,0.094,0.062,0.125
18,2.250,96,32,16.0,1,32,32,16.0,2,1.000,0.094,0.062,0.125
18,2.375,96,32,16.0,1,32,32,16.0,2,1.000,0.094,0.062,0.125
18,2.500,96,32,16.0,1,32,32,16.0,0,1.000,0.031,0.062,0.000
18,2.625,96,32,16.0,1,32,32,16.0,0,1.000,0.031,0.062,0.000
18,2.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,2.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.125,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.250,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.375,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.500,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.625,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,3.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.125,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.250,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.375,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.500,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.625,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,4.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.125,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.250,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.375,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.500,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.625,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,5.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.125,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.250,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.375,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.500,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.625,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,6.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.125,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.250,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.375,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.500,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.625,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.750,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,7.875,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
18,8.000,96,32,16.0,0,32,32,16.0,0,1.000,0.000,0.000,0.000
