log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
18,0.000,750,250,125.0,106,250,250,125.0,118,1.000,0.896,0.848,0.944
18,0.125,750,250,125.0,106,250,250,125.0,118,1.000,0.896,0.848,0.944
18,0.250,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,0.375,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,0.500,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,0.625,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,0.750,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,0.875,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,1.000,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,1.125,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,1.250,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,1.375,750,250,125.0,106,250,250,125.0,115,1.000,0.884,0.848,0.920
18,1.500,750,250,125.0,74,250,250,125.0,105,1.000,0.716,0.592,0.840
18,1.625,750,250,125.0,74,250,250,125.0,105,1.000,0.716,0.592,0.840
18,1.750,750,250,125.0,49,250,250,125.0,105,1.000,0.616,0.392,0.840
18,1.875,750,250,125.0,49,250,250,125.0,105,1.000,0.616,0.392,0.840
18,2.000,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.125,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.250,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.375,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.500,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.625,750,250,125.0,41,250,250,125.0,58,1.000,0.396,0.328,0.464
18,2.750,750,250,125.0,41,250,250,125.0,57,1.000,0.392,0.328,0.456
18,2.875,750,250,125.0,29,250,250,125.0,20,1.000,0.196,0.232,0.160
18,3.000,750,250,125.0,15,250,250,125.0,18,1.000,0.132,0.120,0.144
18,3.125,750,250,125.0,10,250,250,125.0,16,1.000,0.104,0.080,0.128
18,3.250,750,250,125.0,9,250,250,125.0,13,1.000,0.088,0.072,0.104
18,3.375,750,250,125.0,8,250,250,125.0,11,1.000,0.076,0.064,0.088
18,3.500,750,250,125.0,8,250,250,125.0,8,1.000,0.064,0.064,0.064
18,3.625,750,250,125.0,8,250,250,125.0,8,1.000,0.064,0.064,0.064
18,3.750,750,250,125.0,8,250,250,125.0,7,1.000,0.060,0.064,0.056
18,3.875,750,250,125.0,8,250,250,125.0,7,1.000,0.060,0.064,0.056
18,4.000,750,250,125.0,8,250,250,125.0,7,1.000,0.060,0.064,0.056
18,4.125,750,250,125.0,8,250,250,125.0,7,1.000,0.060,0.064,0.056
18,4.250,750,250,125.0,7,250,250,125.0,7,1.000,0.056,0.056,0.056
18,4.375,750,250,125.0,7,250,250,125.0,5,1.000,0.048,0.056,0.040
18,4.500,750,250,125.0,6,250,250,125.0,5,1.000,0.044,0.048,0.040
18,4.625,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,4.750,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,4.875,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.000,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.125,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.250,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.375,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.500,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.625,750,250,125.0,4,250,250,125.0,5,1.000,0.036,0.032,0.040
18,5.750,750,250,125.0,3,250,250,125.0,5,1.000,0.032,0.024,0.040
18,5.875,750,250,125.0,3,250,250,125.0,5,1.000,0.032,0.024,0.040
18,6.000,750,250,125.0,3,250,250,125.0,5,1.000,0.032,0.024,0.040
18,6.125,750,250,125.0,3,250,250,125.0,4,1.000,0.028,0.024,0.032
18,6.250,750,250,125.0,3,250,250,125.0,4,1.000,0.028,0.024,0.032
18,6.375,750,250,125.0,3,250,250,125.0,4,1.000,0.028,0.024,0.032
18,6.500,750,250,125.0,3,250,250,125.0,4,1.000,0.028,0.024,0.032
18,6.625,750,250,125.0,3,250,250,125.0,4,1.000,0.028,0.024,0.032
18,6.750,750,250,125.0,1,250,250,125.0,4,1.000,0.020,0.008,0.032
18,6.875,750,250,125.0,1,250,250,125.0,4,1.000,0.020,0.008,0.032
18,7.000,750,250,125.0,1,250,250,125.0,3,1.000,0.016,0.008,0.024
18,7.125,750,250,125.0,1,250,250,125.0,3,1.000,0.016,0.008,0.024
18,7.250,750,250,125.0,1,250,250,125.0,3,1.000,0.016,0.008,0.024
18,7.375,750,250,125.0,1,250,250,125.0,3,1.000,0.016,0.008,0.024
18,7.500,750,250,125.0,1,250,52,125.0,1,0.208,0.008,0.008,0.008
18,7.625,750,250,125.0,1,250,52,125.0,1,0.208,0.008,0.008,0.008
18,7.750,750,250,125.0,1,250,52,125.0,1,0.208,0.008,0.008,0.008
18,7.875,750,250,125.0,1,250,52,125.0,1,0.208,0.008,0.008,0.008
18,8.000,750,250,125.0,1,250,52,125.0,1,0.208,0.008,0.008,0.008
